Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
Running a worst case for Next Fit
next_fit, False, 100, 0.00018, 50, 31, 1.612903
worst_fit, False, 100, 0.002442, 50, 31, 1.612903
next_fit, True, 100, 0.000124, 30, 31, 0.967742
worst_fit, True, 100, 0.002438, 30, 31, 0.967742
best_fit, True, 100, 0.002495, 30, 31, 0.967742
first_fit, False, 100, 0.000832, 30, 31, 0.967742
first_fit, True, 100, 0.001179, 30, 31, 0.967742
Running a worst case for First Fit
next_fit, False, 102, 0.000146, 56, 34, 1.647059
worst_fit, False, 102, 0.002221, 56, 34, 1.647059
next_fit, True, 102, 0.000157, 56, 34, 1.647059
worst_fit, True, 102, 0.003646, 34, 34, 1.0
best_fit, True, 102, 0.003605, 34, 34, 1.0
first_fit, False, 102, 0.001086, 56, 34, 1.647059
first_fit, True, 102, 0.000947, 34, 34, 1.0
