Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT,Epsilon
ptas_ff, True,100000,6.679788,52652,50010,1.052829,0.1
ptas_ff, True,100000,6.736904,52674,49998,1.053522,0.1
ptas_ff, True,100000,6.69059,52406,49841,1.051464,0.1
ptas_ff, True,100000,6.730371,52701,50057,1.05282,0.1
ptas_ff, True,100000,6.784364,52694,50015,1.053564,0.1
ptas_ff, True,100000,6.692873,52461,49896,1.051407,0.1
ptas_ff, True,100000,6.713794,52642,50007,1.052693,0.1
ptas_ff, True,100000,6.783321,52547,49946,1.052076,0.1
ptas_ff, True,100000,6.771643,52844,50109,1.054581,0.1
ptas_ff, True,100000,6.734476,52769,50151,1.052202,0.1
ptas_ff, True,100000,6.722163,52504,49876,1.052691,0.1
ptas_ff, True,100000,6.765149,52681,50033,1.052925,0.1
ptas_ff, True,100000,6.735031,52696,50050,1.052867,0.1
ptas_ff, True,100000,6.6865,52372,49836,1.050887,0.1
ptas_ff, True,100000,6.731122,52757,50059,1.053896,0.1
ptas_ff, True,100000,6.670862,52561,49969,1.051872,0.1
ptas_ff, True,100000,6.909614,52529,49921,1.052243,0.1
ptas_ff, True,100000,6.723604,52584,50010,1.05147,0.1
ptas_ff, True,100000,6.690803,52606,50011,1.051889,0.1
ptas_ff, True,100000,6.748356,52775,49995,1.055606,0.1
ptas_ff, True,100000,6.73115,52489,49932,1.05121,0.1
ptas_ff, True,100000,6.734641,52640,50021,1.052358,0.1
ptas_ff, True,100000,6.679818,52452,49881,1.051543,0.1
ptas_ff, True,100000,6.663307,52560,49964,1.051957,0.1
ptas_ff, True,100000,6.74916,52701,50125,1.051392,0.1
ptas_ff, True,100000,6.760907,52491,49886,1.052219,0.1
ptas_ff, True,100000,6.727159,52620,49980,1.052821,0.1
ptas_ff, True,100000,6.715438,52518,49941,1.051601,0.1
ptas_ff, True,100000,6.714399,52481,49902,1.051681,0.1
ptas_ff, True,100000,6.743283,52663,50070,1.051787,0.1
ptas_ff, True,100000,6.698109,52518,49956,1.051285,0.1
ptas_ff, True,100000,6.710276,52725,50118,1.052017,0.1
ptas_ff, True,100000,6.85864,50155,49775,1.007634,0.01
ptas_ff, True,100000,6.790766,50364,50028,1.006716,0.01
ptas_ff, True,100000,6.915583,50226,49905,1.006432,0.01
ptas_ff, True,100000,6.95923,50448,50039,1.008174,0.01
ptas_ff, True,100000,6.900481,50136,49853,1.005677,0.01
ptas_ff, True,100000,6.987347,50331,50016,1.006298,0.01
ptas_ff, True,100000,7.017928,50335,50025,1.006197,0.01
ptas_ff, True,100000,6.800714,50281,49935,1.006929,0.01
ptas_ff, True,100000,6.838905,50250,49944,1.006127,0.01
ptas_ff, True,100000,6.929238,50267,49941,1.006528,0.01
ptas_ff, True,100000,6.989506,50555,50144,1.008196,0.01
ptas_ff, True,100000,7.046123,50536,50144,1.007817,0.01
ptas_ff, True,100000,6.9615,50304,50009,1.005899,0.01
